Image_ID,Title,Director,Cast,Year,Genre,Synopsis,image_url
tt0043026,Tathapi,Manoj Bhattacharya,"Bhanu Bannerjee, Gangapada Basu, Bijon Bhattacharya, Manoranjan Bhattacharya",1950,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0042719,Mashaal,Nitin Bose,"Ashok Kumar, Sumitra Devi, Ruma Guha Thakurta, Kanu Roy",1950,Drama,NA,"https://m.media-amazon.com/images/M/MV5BYmJjZjE0ZjQtNDIzNy00MWEyLTgwYzgtMjI0ZWU0ZWRjNjAyXkEyXkFqcGdeQXVyOTEzMDA3MjU@._V1_UY98_CR9,0,67,98_AL_.jpg"
tt0267730,Mantramugdhu,Bimal Roy,"Jiben Bose, Reba Bose, Tulsi Chakraborty, Jahar Ganguli",1949,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0231225,Bamuner Meye,Ajoy Kar,"Sunil Das Gupta, Anubha Gupta, Tulsi Lahiri, Suprava Mukherjee",1949,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0214563,Cartoon,Dhirendranath Ganguly,NA,1949,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0156695,Kavi,Debaki Bose,"Robin Majumdar, Nitish Mukherjee, Anubha Gupta, Nilima Das",1949,Drama," Kavi is a 1949 Indian Bengali film, directed by Sunil Banerjee and produced by Debaki Basu . The film stars Uttam Kumar, Anjana Bhowmick, Kali Banerjee and Shova Sen in lead roles. The film...                See full summary » ","https://m.media-amazon.com/images/M/MV5BOWE2MTAwNTktYzJhNy00ZTAzLTgwM2YtMWM5N2IzZGUwNDhiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
tt0152283,Sankalpa,Agradoot,"N.B. Agrami, Bibhuti Laha, Sikharani Bag, Molina Devi, Suhasini Devi, Jahar Ganguli",1949,Drama,NA,"https://m.media-amazon.com/images/M/MV5BOGJkZjI2ZTUtMjg0Mi00YzYyLWExMTAtYThiM2VjOTY1MzMwXkEyXkFqcGdeQXVyNDY0ODEzODg@._V1_UY98_CR39,0,67,98_AL_.jpg"
tt0243353,Kalo Chhaya,Premendra Mitra,"Gurudas Bannerjee, Dhiraj Bhattacharya, Sipra Mitra, Sisir Mitra",1948,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0157061,Sir Sankarnath,Debaki Bose,"Ajit Bandyopadhyay, Jiben Bose, Tulsi Chakraborty, Ahindra Choudhury",1948,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0156490,Drishtidan,Nitin Bose,"Asitbaran, Sunanda Banerjee, Biman Bannerjee, Chhabi Biswas",1948,Drama,NA,"https://m.media-amazon.com/images/M/MV5BZGM1YjFkZWEtZmIxMC00ZjljLTliYzktMmI5ZjgxMjI4MzNiXkEyXkFqcGdeQXVyOTEzMDA3MjU@._V1_UY98_CR9,0,67,98_AL_.jpg"
tt0152276,Samapika,Agradoot,"Sunanda Banerjee, Phanibhushan Bidyabinode, Tulsi Chakraborty, Prafulla Das",1948,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0152258,Sabyasachi,Agradoot,"Kamal Mitra, Meera Mishra, Sandhya Rani, Paresh Bannerjee",1948,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0156390,Chandrashekhar,Debaki Bose,"Chhabi Biswas, Bharati Devi, Kanan Devi, Rajlakshmi Devi",1947,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0156272,Alakananda,Ratan Chatterjee,"Paresh Bandyopadhyay, Ashu Bose, Tulsi Chakraborty, Ajit Chatterjee",1947,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0152727,Swapna-o-Sadhana,Agradoot,"Kanu Bannerjee, Paresh Bannerjee, Reba Devi, Jahar Ganguli",1947,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0396571,Dui Purush,Subodh Mitra,"Sunanda Banerjee, Chhabi Biswas, Amita Bose, Harimohan Bose",1945,Family,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
